ID;Clube_ID;Tipo;Origem_Destino;Valor;Empréstimo;Ano
123;17;Entrada;Bangu-RJ;0.00;Sim;2015
124;8;Saída;Without Club;0.00;Não;2015
125;17;Saída;EC Vitória;0.00;Sim;2015
126;20;Saída;Palmeiras;0.00;Não;2015
127;26;Entrada;Goiás;0.00;Não;2015
128;35;Entrada;Flamengo;0.00;Sim;2015
129;30;Entrada;Without Club;0.00;Não;2015
130;9;Entrada;Cruzeiro;0.00;Sim;2015
131;14;Entrada;Sport Recife;0.00;Sim;2015
132;14;Saída;Chapecoense;0.00;Sim;2015
133;33;Saída;Cruzeiro;0.00;Sim;2015
134;29;Saída;Boavista;0.00;Não;2015
135;8;Saída;Without Club;0.00;Não;2015
136;22;Entrada;Man Utd;0.00;Não;2015
137;11;Saída;Santa Cruz-PE;0.00;Sim;2015
138;11;Entrada;Ponte Preta;0.00;Sim;2015
139;11;Saída;Santo André;0.00;Não;2015
140;11;Saída;Ponte Preta;0.00;Sim;2015
141;28;Entrada;Coritiba FC;0.00;Sim;2015
142;28;Saída;Coritiba FC;0.00;Sim;2015
143;31;Saída;Boavista;0.00;Não;2015
144;1;Entrada;Tombense;0.00;Sim;2015
145;24;Saída;Tombense;0.00;Sim;2015
146;2;Entrada;Londrina-PR;0.00;Sim;2015
147;12;Entrada;El-Jaish;0.00;Sim;2015
148;12;Saída;El-Jaish;0.00;Sim;2015
149;10;Entrada;ABC FC;0.00;Não;2015
150;10;Saída;Salgueiro;0.00;Não;2015
151;2;Entrada;Sport Recife;0.00;Não;2015
152;33;Saída;Atlético-GO;0.00;Não;2015
153;17;Entrada;Without Club;0.00;Não;2015
154;27;Saída;Icasa;0.00;Sim;2015
155;7;Saída;Tombense;0.00;Não;2015
156;5;Saída;Cruzeiro U20;0.00;Sim;2015
157;29;Entrada;Cruzeiro U20;0.00;Sim;2015
158;29;Saída;Cruzeiro U20;0.00;Sim;2015
159;30;Entrada;Without Club;0.00;Não;2015
160;1;Saída;Tombense;0.00;Sim;2015
161;26;Entrada;Tombense;0.00;Sim;2015
162;7;Saída;Botafogo-SP;0.00;Não;2015
163;29;Saída;Portuguesa;0.00;Não;2015
164;7;Saída;Shonan Bellmare;0.00;Não;2015
165;25;Entrada;Horizonte;0.00;Sim;2015
166;25;Saída;Horizonte;0.00;Sim;2015
167;35;Entrada;GO Audax;0.00;Sim;2015
168;15;Saída;SE Gama;0.00;Não;2015
169;13;Saída;Tombense;0.00;Não;2015
170;5;Entrada;Without Club;0.00;Não;2015
171;2;Saída;Boavista;0.00;Sim;2015
172;15;Entrada;Vila Nova FC;0.00;Não;2015
173;9;Saída;Without Club;0.00;Não;2015
174;34;Saída;Botafogo-SP;0.00;Não;2015
175;17;Saída;FC Goa;0.00;Não;2015
176;12;Saída;União Madeira;0.00;Sim;2015
177;12;Saída;Bragantino;0.00;Sim;2015
178;12;Saída;União Madeira;0.00;Sim;2015
179;29;Entrada;Corinthians;0.00;Sim;2015
180;19;Saída;Ypiranga-RS;0.00;Não;2015
181;24;Entrada;São Caetano;0.00;Não;2015
182;14;Entrada;HZ Greentown;0.00;Sim;2015
183;14;Saída;HZ Greentown;16120000.00;Não;2015
184;5;Entrada;Tombense;0.00;Sim;2015
185;5;Saída;Corinthians;0.00;Sim;2015
186;12;Entrada;Avaí FC;0.00;Sim;2015
187;12;Saída;Tombense;0.00;Não;2015
188;18;Entrada;São Paulo;0.00;Não;2015
189;32;Saída;Fluminense;0.00;Não;2015
190;28;Saída;Bragantino;0.00;Não;2015
191;29;Entrada;Ponte Preta;0.00;Não;2015
192;29;Saída;Capivariano;0.00;Não;2015
193;9;Entrada;Without Club;0.00;Não;2015
194;23;Saída;Carabobo FC;0.00;Não;2015
195;26;Entrada;Santos;0.00;Não;2015
196;31;Saída;Palmeiras;0.00;Não;2015
197;20;Saída;Without Club;0.00;Não;2015
198;27;Entrada;Villa Nova;0.00;Não;2015
199;27;Saída;Juventus-SC;0.00;Não;2015
200;5;Saída;Boa Esporte;0.00;Não;2015
201;13;Entrada;Penapolense;0.00;Sim;2015
202;25;Entrada;Botafogo-SP;0.00;Não;2015
203;25;Entrada;Portuguesa;0.00;Sim;2015
204;25;Saída;Penapolense;0.00;Não;2015
205;25;Saída;Retired;0.00;Não;2015
206;26;Entrada;Santos;0.00;Não;2015
207;31;Saída;Palmeiras;0.00;Não;2015
208;2;Entrada;Penapolense;0.00;Não;2015
209;2;Saída;Guarani;0.00;Não;2015
210;27;Saída;Penapolense;0.00;Não;2015
211;2;Entrada;Londrina-PR;0.00;Sim;2015
212;17;Saída;Londrina-PR;0.00;Sim;2015
213;17;Entrada;EC Vitória;0.00;Sim;2015
214;35;Entrada;América-RN;0.00;Sim;2015
215;35;Saída;Flamengo;0.00;Sim;2015
216;11;Entrada;Oeste;0.00;Sim;2015
217;11;Saída;Juventus-SC;0.00;Não;2015
218;16;Saída;São Caetano;0.00;Não;2015
219;2;Saída;Nova Iguaçu-RJ;0.00;Não;2015
220;18;Entrada;Nova Iguaçu-RJ;0.00;Sim;2015
221;30;Entrada;KFC Uerdingen;0.00;Não;2015
222;15;Entrada;CRAC (GO);0.00;Não;2015
223;29;Entrada;FK Gabala;0.00;Não;2015
224;29;Saída;CRAC (GO);0.00;Não;2015
225;20;Entrada;Linense;0.00;Sim;2015
226;20;Saída;Linense;0.00;Sim;2015
227;20;Saída;Without Club;0.00;Não;2015
228;24;Entrada;Inter B;0.00;Sim;2015
229;33;Saída;Inter B;0.00;Sim;2015
230;19;Entrada;Paraná;0.00;Não;2015
231;27;Entrada;Náutico;0.00;Não;2015
232;27;Saída;Fortaleza;0.00;Não;2015
233;22;Saída;Paysandu;0.00;Sim;2015
234;2;Entrada;Atlético-GO U20;0.00;Não;2015
235;26;Entrada;EC Vitória;0.00;Sim;2015
236;35;Saída;Palmeiras;0.00;Sim;2015
237;2;Entrada;Capivariano;0.00;Não;2015
238;18;Saída;Jacobina;0.00;Sim;2015
239;33;Saída;Santa Cruz-PE;0.00;Não;2015
240;10;Saída;Hercílio Luz;0.00;Não;2015
241;8;Entrada;Mirassol-SP;0.00;Sim;2015
242;11;Saída;Without Club;0.00;Não;2015
243;25;Entrada;Without Club;0.00;Não;2015
244;25;Saída;Ceará SC;0.00;Sim;2015
245;13;Entrada;Criciúma U20;0.00;Não;2015
246;30;Entrada;FC Bergheim;0.00;Não;2015
247;25;Entrada;Without Club;0.00;Não;2015
248;1;Entrada;Ipatinga;0.00;Sim;2015
249;1;Saída;Náutico;0.00;Não;2015
250;26;Saída;Vasco da Gama;0.00;Sim;2015
251;28;Entrada;Coritiba U20;0.00;Não;2015
252;34;Entrada;Palmeiras;0.00;Sim;2015
253;27;Saída;Fast;0.00;Não;2015
254;7;Entrada;Ceará SC;0.00;Não;2015
255;8;Saída;Botafogo;0.00;Não;2015
256;18;Saída;Ponte Preta;0.00;Sim;2015
257;28;Entrada;Fluminense;0.00;Sim;2015
258;27;Saída;Botafogo-PB;0.00;Sim;2015
259;7;Saída;Without Club;0.00;Não;2015
260;14;Saída;Without Club;0.00;Não;2015
261;28;Entrada;Without Club;0.00;Não;2015
262;15;Entrada;Marília-SP;0.00;Não;2015
263;21;Entrada;Real Betis;0.00;Sim;2015
264;6;Saída;Oeste;0.00;Não;2015
265;16;Saída;Goiás;0.00;Não;2015
266;20;Entrada;Figueirense FC;0.00;Não;2015
267;29;Entrada;Corinthians B;0.00;Sim;2015
268;31;Saída;Mineros;0.00;Não;2015
269;10;Saída;Campinense-PB;0.00;Não;2015
270;32;Entrada;Career break;0.00;Não;2015
271;19;Saída;Mirassol-SP;0.00;Sim;2015
272;25;Entrada;Fortaleza;0.00;Sim;2015
273;25;Saída;Caxias-RS;0.00;Sim;2015
274;14;Entrada;Paraná;0.00;Não;2015
275;14;Saída;Fluminense;0.00;Sim;2015
276;18;Entrada;Cruzeiro;0.00;Sim;2015
277;27;Saída;Cruzeiro;0.00;Não;2015
278;21;Saída;Vit. Guimarães;0.00;Sim;2015
279;17;Entrada;Grêmio;0.00;Sim;2015
280;21;Saída;Flamengo;0.00;Sim;2015
281;7;Entrada;Portuguesa;0.00;Sim;2015
282;7;Entrada;Paraná;0.00;Sim;2015
283;7;Saída;Portuguesa;0.00;Sim;2015
284;7;Saída;Macaé;0.00;Sim;2015
285;27;Saída;Botafogo;0.00;Sim;2015
286;1;Entrada;Flamengo;0.00;Sim;2015
287;1;Saída;Flamengo;0.00;Sim;2015
288;17;Entrada;América-MG;0.00;Sim;2015
289;17;Entrada;Sport Recife;0.00;Sim;2015
290;17;Entrada;XV Piracicaba;0.00;Sim;2015
291;17;Saída;América-MG;0.00;Sim;2015
292;17;Saída;Luverdense;0.00;Sim;2015
293;17;Saída;XV Piracicaba;0.00;Sim;2015
